Timestamp,Event,FPS,Edge_Latency_ms,WiFi_Latency_ms,Total_Latency_ms
03:30:34.560,COMMAND_SENT,18.75,36.76,76.09,112.85
03:30:41.585,COMMAND_SENT,19.48,53.37,227.59,280.97
03:30:46.812,COMMAND_SENT,19.41,36.78,106.13,142.91
03:30:52.810,COMMAND_SENT,19.66,37.96,179.97,217.93
03:30:59.024,COMMAND_SENT,20.60,38.29,136.83,175.12
03:31:07.427,COMMAND_SENT,20.29,38.79,132.66,171.45
03:31:18.879,COMMAND_SENT,19.19,35.60,99.84,135.43
07:29:05.738,COMMAND_SENT,20.73,36.19,197.87,234.07
07:29:10.896,COMMAND_SENT,15.42,39.17,223.78,262.95
07:29:19.763,COMMAND_SENT,21.24,35.53,340.92,376.46
07:29:24.606,COMMAND_SENT,20.94,35.51,126.38,161.89
07:29:29.902,COMMAND_SENT,20.86,35.83,54.35,90.18
07:29:35.161,COMMAND_SENT,20.86,37.49,223.71,261.21
07:29:40.281,COMMAND_SENT,20.74,70.18,180.56,250.75
07:29:45.309,COMMAND_SENT,20.76,64.11,181.48,245.59
07:29:50.482,COMMAND_SENT,21.03,35.51,95.50,131.02
07:29:55.903,COMMAND_SENT,13.96,35.36,381.36,416.72
07:30:01.154,COMMAND_SENT,21.21,61.72,193.51,255.23
07:30:06.529,COMMAND_SENT,20.51,37.44,225.05,262.49
07:30:13.731,COMMAND_SENT,14.39,36.18,126.17,162.35
07:30:18.976,COMMAND_SENT,20.26,34.36,133.86,168.22
07:30:24.313,COMMAND_SENT,20.89,59.59,164.64,224.23
07:30:33.398,COMMAND_SENT,19.28,37.73,255.60,293.33
07:30:38.936,COMMAND_SENT,21.38,34.43,102.90,137.33
07:30:45.840,COMMAND_SENT,20.97,34.83,251.03,285.86
07:30:51.927,COMMAND_SENT,21.46,34.72,315.78,350.50
07:30:57.283,COMMAND_SENT,20.58,34.35,239.77,274.11
